This files contains rainfall data from Birr in 1990 to 1992
rainfall(mm) -> Year 
105.0 -> 011990
168.5 -> 021990 
15.6 ->  031990
48.3 ->  041990
24.1 ->  051990
61.4 ->  061990
56.2 ->  071990
43.8 ->  081990
20.5 ->  091990
142.5 -> 101990
62.3 ->  111990
95.3 ->  121990
77.4 ->  011991 
60.9 ->  021991 
54.7 ->  031991 
105.5 -> 041991
4.4 ->   051991
91.6 ->  061991
88.4 ->  071991
49.2 ->  081991
50.1 ->  091991
97.4 ->  101991
88.1 ->  111991
33.2 ->  121991
65.4 ->  011992
41.0 ->  021992
86.8 ->  031992
75.7 ->  041992
50.2 ->  051992
32.5 ->  061992
65.8 ->  017992
116.3 -> 081992
84.7 ->  091992
49.6 ->  101992
84 ->    111992
68.3 ->  121992
